MIPS Instructions (in Hex),,,,,,
j,2,ARG1,,,,
jal,3,ARG1,,,,
break,0,ARG1,d,,,
addi,8,ARG2,ARG1,ARG3,,
addiu,9,ARG2,ARG1,ARG3,,
andi,c,ARG2,ARG1,ARG3,,
ori,d,ARG2,ARG1,ARG3,,
xori,e,ARG2,ARG1,ARG3,,
lui,f,0,ARG1,ARG2,,
slti,a,ARG2,ARG1,ARG3,,
sltiu,b,ARG2,ARG1,ARG3,,
teqi,1,ARG1,c,ARG2,,
teqi,1,ARG1,e,ARG2,,
tgei,1,ARG1,8,ARG2,,
tgeiu,1,ARG1,9,ARG2,,
tlti,1,ARG1,a,ARG2,,
tltiu,1,ARG1,b,ARG2,,
beq,4,ARG1,ARG2,label,,
bgez,1,ARG1,1,label,,
bgezal,1,ARG1,11,label,,
bgtz,7,ARG1,0,label,,
blez,6,ARG1,0,label,,
bltzal,1,ARG1,10,label,,
bltz,1,ARG1,0,label,,
bne,5,ARG1,ARG2,label,,
lb,20,ARG2,ARG1,address,,
lbu,24,ARG2,ARG1,address,,
lh,21,ARG2,ARG1,address,,
lhu,25,ARG2,ARG1,address,,
lw,23,ARG2,ARG1,address,,
lwl,22,ARG2,ARG1,address,,
lwr,26,ARG2,ARG1,address,,
ll,30,ARG2,ARG1,address,,
sb,28,ARG2,ARG1,address,,
sh,29,ARG2,ARG1,address,,
sw,2b,ARG2,ARG1,address,,
swl,2a,ARG2,ARG1,address,,
swr,2e,ARG2,ARG1,address,,
sc,38,ARG2,ARG1,address,,
nop,0,0,0,0,0,0
eret,10,10,0,0,0,18
syscall,0,0,0,0,0,c
mfhi,0,0,0,ARG1,0,10
mflo,0,0,0,ARG1,0,12
jr,0,ARG1,0,0,0,8
mthi,0,ARG1,0,0,0,11
mtlo,0,ARG1,0,0,0,13
mfc0,10,0,ARG1,ARG2,0,0
mtc0,10,4,ARG2,ARG1,0,0
movn,0,ARG2,ARG3,ARG1,0,b
movz,0,ARG2,ARG3,ARG1,0,a
add,0,ARG2,ARG3,ARG1,0,20
addu,0,ARG2,ARG3,ARG1,0,21
and,0,ARG2,ARG3,ARG1,0,24
clo,1c,ARG2,0,ARG1,0,21
clz,1c,ARG2,0,ARG1,0,20
mul,1c,ARG2,ARG3,ARG1,0,2
nor,0,ARG2,ARG3,ARG1,0,27
or,0,ARG2,ARG3,ARG1,0,25
sll,0,0,ARG2,ARG1,ARG3,0
sllv,0,ARG3,ARG2,ARG1,0,4
sra,0,0,ARG2,ARG1,ARG3,3
srav,0,ARG3,ARG2,ARG1,0,7
srl,0,0,ARG2,ARG1,ARG3,2
srlv,0,ARG3,ARG2,ARG1,0,6
sub,0,ARG2,ARG3,ARG1,0,22
subu,0,ARG2,ARG3,ARG1,0,23
xor,0,ARG2,ARG3,ARG1,0,26
slt,0,ARG2,ARG3,ARG1,0,2a
sltu,0,ARG2,ARG3,ARG1,0,2b
jalr,0,ARG1,0,ARG2,0,9
div,0,ARG1,ARG2,0,0,1a
divu,0,ARG1,ARG2,0,0,1b
mult,0,ARG1,ARG2,0,0,18
multu,0,ARG1,ARG2,0,0,19
madd,1c,ARG1,ARG2,0,0,0
maddu,1c,ARG1,ARG2,0,0,1
msub,1c,ARG1,ARG2,0,0,4
msubu,1c,ARG1,ARG2,0,0,5
teq,0,ARG1,ARG2,0,0,34
teq,0,ARG1,ARG2,0,0,36
tge,0,ARG1,ARG2,0,0,30
tgeu,0,ARG1,ARG2,0,0,31
tlt,0,ARG1,ARG2,0,0,32
tltu,0,ARG1,ARG2,0,0,33
