MIPS Instructions (Pseudo),Argument number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abs,sra,ARG1,ARG2,31,NEWLINE,xor,ARG1,ARG1,ARG2,NEWLINE,sub,ARG1,ARG1,ARG2,,,,,,,,,,,,,,,
div,div,ARG2,ARG3,NEWLINE,mflo,ARG1,,,,,,,,,,,,,,,,,,,,,,,
divu,divu,ARG2,ARG3,NEWLINE,mflo,ARG1,,,,,,,,,,,,,,,,,,,,,,,
mulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,sub,ARG1,$zero,ARG2,,,,,,,,,,,,,,,,,,,,,,,,,
negu,sub,ARG1,$zero,ARG2,,,,,,,,,,,,,,,,,,,,,,,,,
not,nor,ARG1,ARG2,$zero,,,,,,,,,,,,,,,,,,,,,,,,,
rem,div,ARG2,ARG3,NEWLINE,mfhi,ARG1,,,,,,,,,,,,,,,,,,,,,,,
remu,divu,ARG2,ARG3,NEWLINE,mfhi,ARG1,,,,,,,,,,,,,,,,,,,,,,,
rol,ori,$at,$zero,ARG3,NEWLINE,sub,$at,$zero,$at,NEWLINE,addi,$at,$at,32,NEWLINE,sll,ARG1,ARG2,$at,NEWLINE,srl,$at,ARG2,ARG3,NEWLINE,or,ARG1,ARG1,$at
ror,ori,$at,$zero,ARG3,NEWLINE,sub,$at,$zero,$at,NEWLINE,addi,$at,$at,32,NEWLINE,srl,ARG1,ARG2,$at,NEWLINE,sll,$at,ARG2,ARG3,NEWLINE,or,ARG1,ARG1,$at
li,ori,ARG1,$zero,ARG2,,,,,,,,,,,,,,,,,,,,,,,,,
seq,beq,ARG3,ARG2,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,1,,,,,,,,,,
sge,slt,$at,ARG1,ARG2,NEWLINE,beq,$at,$zero,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,1,,,,,
sgeu,sltu,$at,ARG1,ARG2,NEWLINE,beq,$at,$zero,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,1,,,,,
sgt,slt,$at,ARG2,ARG1,NEWLINE,bne,$at,$zero,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,,,,,,
sgtu,sltu,$at,ARG2,ARG1,NEWLINE,bne,$at,$zero,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,,,,,,
sle,slt,$at,ARG2,ARG1,NEWLINE,beq,$at,$zero,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,,,,,,
sleu,sltu,$at,ARG2,ARG1,NEWLINE,beq,$at,$zero,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,,,,,,
sne,bne,ARG3,ARG2,LABEL+3,NEWLINE,ori,ARG1,$zero,0,NEWLINE,beq,$zero,$zero,LABEL+2,NEWLINE,ori,ARG1,$zero,1,,,,,,,,,,
b,beq,$zero,$zero,ARG1,,,,,,,,,,,,,,,,,,,,,,,,,
beqz,beq,ARG1,$zero,ARG2,,,,,,,,,,,,,,,,,,,,,,,,,
bge,slt,$at,ARG1,ARG2,NEWLINE,beq,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
bgeu,sltu,$at,ARG1,ARG2,NEWLINE,beq,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
bgt,slt,$at,ARG2,ARG1,NEWLINE,bne,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
bgtu,sltu,$at,ARG2,ARG1,NEWLINE,bne,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
ble,slt,$at,ARG2,ARG1,NEWLINE,beq,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
bleu,sltu,$at,ARG2,ARG1,NEWLINE,beq,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
blt,slt,$at,ARG1,ARG2,NEWLINE,bne,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
bltu,sltu,$at,ARG1,ARG2,NEWLINE,bne,$at,$zero,ARG3,,,,,,,,,,,,,,,,,,,,
bnez,bne,ARG1,$zero,ARG2,,,,,,,,,,,,,,,,,,,,,,,,,
la,addi,ARG1,$zero,ARG2,,,,,,,,,,,,,,,,,,,,,,,,,
ld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
move,or,ARG1,ARG2,$zero,,,,,,,,,,,,,,,,,,,,,,,,,
