MIPS Instructions (in Bin),
j,000010[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
jal,000011[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
break,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]001101
addi,001000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
addiu,001001[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
andi,001100[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
ori,001101[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
[01]ori,001110[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lui,00111100000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
slti,001010[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
sltiu,001011[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
teqi,000001[01][01][01][01][01]01100[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
teqi,000001[01][01][01][01][01]01110[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
tgei,000001[01][01][01][01][01]01000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
tgeiu,000001[01][01][01][01][01]01001[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
tlti,000001[01][01][01][01][01]01010[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
tltiu,000001[01][01][01][01][01]01011[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
beq,000100[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
bgez,000001[01][01][01][01][01]00001[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
bgezal,000001[01][01][01][01][01]10001[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
bgtz,000111[01][01][01][01][01]00000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
blez,000110[01][01][01][01][01]00000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
bltzal,000001[01][01][01][01][01]10000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
bltz,000001[01][01][01][01][01]00000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
